Team,Avg Win RP,Avg Auto RP,Avg Climb RP
frc6041,0.833333333,0.333333333,0
frc4733,0.695652174,0.434782609,0.043478261
frc5078,0.833333333,0.333333333,0.083333333
frc6435,0.833333333,0.5,0
frc7277,0.818181818,0.545454545,0.090909091
frc6188,1,0.666666667,0.166666667
frc6679,1.166666667,0.75,0.166666667
frc3250,1.435897436,0.692307692,0.051282051
frc3011,0.916666667,0.541666667,0.041666667
frc3216,1.333333333,0.416666667,0.083333333
frc7246,0.333333333,0.333333333,0
frc4604,0.833333333,0.25,0.166666667
frc6841,1.333333333,0.25,0
frc5015,1,0.416666667,0.083333333
frc2130,1.212121212,0.696969697,0.181818182
frc1622,1.441860465,0.534883721,0.093023256
frc6364,0.916666667,0.083333333,0.041666667
frc6178,0.666666667,0.416666667,0.083333333
frc1482,0.833333333,0.166666667,0.083333333
frc5118,0.916666667,0.291666667,0.041666667
frc5725,1,0.5,0
frc6701,0.666666667,0.333333333,0.083333333
frc359,1.318181818,0.704545455,0.431818182
frc6106,1.03030303,0.363636364,0.121212121
frc4010,1,0.363636364,0.068181818
frc2122,1.761904762,0.80952381,0.523809524
frc7205,0.5,0.083333333,0.083333333
frc4627,0.882352941,0.5,0.029411765
frc4334,1.25,0.375,0
frc4775,0.909090909,0.454545455,0.03030303
frc6979,1,0.25,0.083333333
frc5630,0.727272727,0.424242424,0.181818182
frc6700,0.833333333,0.333333333,0
frc5787,1.166666667,0.416666667,0
frc6351,1.083333333,0.458333333,0.041666667
frc6937,0.727272727,0,0
frc5410,0.85,0.6,0.05
frc5045,0.933333333,0.7,0.066666667
frc6404,0.736842105,0.421052632,0.052631579
frc1369,1,0.45,0.025
frc3792,1.1875,0.625,0.03125
frc2973,1.142857143,0.476190476,0
frc7111,0.952380952,0.666666667,0.142857143
frc3139,1.090909091,0.272727273,0
frc6107,1.090909091,0,0
frc3959,1.677419355,0.64516129,0.032258065
frc538,0.545454545,0.272727273,0
frc4533,1.523809524,0.714285714,0.047619048
frc442,0.545454545,0.545454545,0
frc5721,0.952380952,0.333333333,0
frc2468,1.285714286,0.595238095,0.071428571
frc6366,1.1,0.45,0
frc5058,0.545454545,0.363636364,0
frc7072,0.545454545,0.181818182,0
frc547,1.090909091,0.272727273,0
frc34,0.857142857,0.333333333,0
frc2556,1.310344828,0.413793103,0.103448276
frc3844,1,0.566666667,0.1
frc7065,0.909090909,0.363636364,0
frc3593,1.128205128,0.615384615,0.051282051
frc3843,0.5,0.166666667,0
frc5616,0.545454545,0.090909091,0.090909091
frc4965,1.2,0.5,0
frc2815,0.8,0.5,0.05
frc4740,1.090909091,0.636363636,0.090909091
frc4451,1.533333333,0.666666667,0.133333333
frc4924,0.285714286,0.476190476,0.047619048
frc1319,1.4,0.3,0
frc7313,0.545454545,0.090909091,0
frc4306,0.774193548,0.419354839,0.064516129
frc342,1.4,0.5,0.033333333
frc4087,1.4,0.65,0.05
frc3966,1.181818182,0.590909091,0
frc3319,0.545454545,0.454545455,0
frc141,1.333333333,0.68115942,0.173913043
frc5005,0.571428571,0.333333333,0.095238095
frc7026,1.047619048,0.523809524,0.047619048
frc5858,0.545454545,0.363636364,0
frc3928,1.379310345,0.793103448,0.068965517
frc1756,1.454545455,0.787878788,0.333333333
frc6875,0.913043478,0.630434783,0.217391304
frc7160,0.941176471,0.558823529,0.058823529
frc3381,0.733333333,0.666666667,0.033333333
frc3656,1.347826087,0.782608696,0.304347826
frc6968,0.736842105,0.578947368,0.105263158
frc1262,1.260869565,0.782608696,0.239130435
frc5413,0.827586207,0.551724138,0.137931034
frc1259,1.586206897,0.689655172,0.275862069
frc3620,1.260869565,0.782608696,0.304347826
frc2202,1.310344828,0.724137931,0.206896552
frc1493,1.043478261,0.739130435,0.173913043
frc1325,1.724137931,0.637931034,0.224137931
frc1923,1.345454545,0.836363636,0.109090909
frc6237,0.9375,0.625,0.1875
frc5422,0.739130435,0.52173913,0.065217391
frc4521,0.857142857,0.607142857,0.25
frc447,1.086956522,0.804347826,0.217391304
frc2081,1.0625,0.71875,0.0625
frc58,1.173913043,0.739130435,0.065217391
frc3767,1.260869565,0.630434783,0.065217391
frc4786,1.375,0.78125,0.0625
frc6328,1.304347826,0.717391304,0.152173913
frc870,1.483870968,0.741935484,0.387096774
frc5407,1.206896552,0.672413793,0.362068966
frc555,0.823529412,0.588235294,0.147058824
frc4011,0.827586207,0.655172414,0.137931034
frc2075,1.347826087,0.543478261,0.130434783
frc694,1.727272727,0.75,0.113636364
frc2549,1.034482759,0.517241379,0.068965517
frc4392,1.391304348,0.47826087,0.130434783
frc2228,0.4,0.633333333,0.133333333
frc7329,0.913043478,0.673913043,0.130434783
frc4541,1.347826087,0.673913043,0.086956522
frc2177,0.965517241,0.448275862,0.103448276
frc612,1.260869565,0.586956522,0.065217391
frc5216,1.217391304,0.782608696,0.173913043
frc1322,1.217391304,0.47826087,0.239130435
frc4096,1,0.46875,0.0625
frc6329,1.173913043,0.804347826,0.130434783
frc4557,1.086956522,0.760869565,0.217391304
frc5436,1.173913043,0.717391304,0.217391304
frc5913,0.896551724,0.620689655,0.034482759
frc1559,1.24137931,0.793103448,0.172413793
frc894,1.176470588,0.382352941,0.176470588
frc2220,1.212121212,0.666666667,0.121212121
frc1114,1.70212766,0.787234043,0.255319149
frc2377,1.130434783,0.673913043,0.173913043
frc2620,0.742857143,0.485714286,0.028571429
frc4003,1.695652174,0.760869565,0.217391304
frc2830,0.866666667,0.7,0.1
frc5531,0.956521739,0.47826087,0.108695652
frc6860,0.652173913,0.456521739,0.043478261
frc868,1.428571429,0.821428571,0.321428571
frc4237,1.52173913,0.739130435,0.086956522
frc4909,1.086956522,0.630434783,0.195652174
frc5724,1.130434783,0.673913043,0.152173913
frc303,1.381818182,0.8,0.290909091
frc2200,1.086956522,0.847826087,0.52173913
frc6121,1,0.739130435,0.108695652
frc4776,1.217391304,0.804347826,0.282608696
frc1218,1.304347826,0.760869565,0.347826087
frc2016,1,0.75862069,0.051724138
frc67,1.517241379,0.844827586,0.706896552
frc5674,1.260869565,0.826086957,0.282608696
frc3618,1.103448276,0.706896552,0.068965517
frc1660,0.933333333,0.733333333,0.1
frc4209,1.052631579,0.157894737,0
frc3937,1.448275862,0.620689655,0.103448276
frc1912,0.947368421,0.315789474,0
frc4523,1.052631579,0.263157895,0
frc7066,0.6,0.2,0
frc6055,1.263157895,0.842105263,0
frc5178,0.8,0.3,0
frc4400,1.032258065,0.225806452,0.064516129
frc7106,0.761904762,0.285714286,0.047619048
frc6640,1,0.2,0
frc5729,0.8,0.5,0
frc7263,0.4,0.2,0
frc6840,0.4,0.1,0
frc2773,0.736842105,0.157894737,0
frc4005,0.526315789,0.210526316,0
frc3160,0.842105263,0.421052632,0
frc364,1.448275862,0.620689655,0.034482759
frc6492,0.6,0.2,0
frc3991,1.24137931,0.482758621,0
frc31,0.8,0.1,0
frc7260,0.6,0.4,0.1
frc2395,1.263157895,0.157894737,0
frc2080,0.896551724,0.448275862,0
frc6855,1,0.3,0.1
frc5550,1.473684211,0.421052632,0.052631579
frc7123,0.9,0.35,0.1
frc701,0.965517241,0.620689655,0
frc6647,1,0.25,0
frc2183,1.052631579,0.157894737,0.052631579
frc5568,1,0.2,0
frc1764,1.181818182,0.545454545,0
frc323,1.5,0.55,0.05
frc6186,1.2,0.1,0
frc4635,1.333333333,0.619047619,0.095238095
frc5437,1.034482759,0.482758621,0.068965517
frc1700,0.620689655,0.448275862,0.068965517
frc4576,0.6,0.5,0.133333333
frc6586,1,0.2,0
frc7075,0.2,0.1,0
frc3039,1.263157895,0.421052632,0
frc1209,0.842105263,0.315789474,0
frc2992,1.586206897,0.689655172,0.24137931
frc5002,0.7,0.35,0
frc16,1.6,0.833333333,0.333333333
frc1818,1.052631579,0.368421053,0
frc4403,0.952380952,0.047619048,0
